App§Category§Rating§Reviews§Size§Installs§Type§Price§Content Rating§Genres§Last Updated§Current Ver§Android Ver
Paper flowers instructions§ART_AND_DESIGN§4.4§167§5.6M§50,000+§Free§0§Everyone§Art & Design§March 26, 2017§1.0§2.3 and up
Manga Rock - Best Manga Reader§COMICS§4.4§238970§28M§1,000,000+§Free§0§Teen§Comics§July 9, 2018§3.4.3_world§5.0 and up
Funny Jokes Photos§COMICS§4.4§39§4.3M§10,000+§Free§0§Everyone 10+§Comics§July 3, 2018§1.1§4.2 and up
Manga Mania - Best online manga reader§COMICS§4.4§757§10M§10,000+§Free§0§Teen§Comics§May 24, 2018§1.0§4.1 and up
pixiv comic - everyone's manga app§COMICS§4.4§18814§Varies with device§1,000,000+§Free§0§Mature 17+§Comics§July 30, 2018§Varies with device§Varies with device
Perfect Viewer§COMICS§4.4§51981§Varies with device§5,000,000+§Free§0§Everyone§Comics§August 1, 2018§4.2.0.2§2.3 and up
think Comics§COMICS§4.4§1006§19M§50,000+§Free§0§Everyone§Comics§August 3, 2018§2.3.3§4.0.3 and up
Memes Button§COMICS§4.4§5968§5.7M§1,000,000+§Free§0§Everyone§Comics§May 28, 2018§1.4§4.0 and up
WhatsApp Messenger§COMMUNICATION§4.4§69119316§Varies with device§1,000,000,000+§Free§0§Everyone§Communication§August 3, 2018§Varies with device§Varies with device
Messenger Lite: Free Calls & Messages§COMMUNICATION§4.4§1429035§Varies with device§100,000,000+§Free§0§Everyone§Communication§July 25, 2018§37.0.0.7.163§2.3 and up
Firefox Browser fast & private§COMMUNICATION§4.4§3075028§Varies with device§100,000,000+§Free§0§Everyone§Communication§July 10, 2018§Varies with device§Varies with device
Opera Browser: Fast and Secure§COMMUNICATION§4.4§2473509§Varies with device§100,000,000+§Free§0§Everyone§Communication§July 31, 2018§47.1.2249.129326§Varies with device
Firefox Focus: The privacy browser§COMMUNICATION§4.4§36880§4.0M§1,000,000+§Free§0§Everyone§Communication§July 6, 2018§5.2§5.0 and up
Chrome Dev§COMMUNICATION§4.4§63543§Varies with device§5,000,000+§Free§0§Everyone§Communication§August 2, 2018§69.0.3497.24§Varies with device
TouchPal Keyboard - Fun Emoji & Android Keyboard§COMMUNICATION§4.4§615381§37M§10,000,000+§Free§0§Mature 17+§Communication§August 2, 2018§6.7.9.1§4.0.3 and up
UC Browser Mini -Tiny Fast Private & Secure§COMMUNICATION§4.4§3648120§3.3M§100,000,000+§Free§0§Teen§Communication§July 18, 2018§11.4.0§4.0 and up
WhatsApp Business§COMMUNICATION§4.4§136662§32M§10,000,000+§Free§0§Everyone§Communication§July 30, 2018§2.18.116§4.0.3 and up
Telegram§COMMUNICATION§4.4§3128250§Varies with device§100,000,000+§Free§0§Mature 17+§Communication§July 27, 2018§Varies with device§Varies with device
Antillean Gold Telegram (original version)§COMMUNICATION§4.4§2939§17M§100,000+§Free§0§Everyone§Communication§July 16, 2018§2.1§4.1 and up
WhatsApp Messenger§COMMUNICATION§4.4§69119316§Varies with device§1,000,000,000+§Free§0§Everyone§Communication§August 3, 2018§Varies with device§Varies with device
Telegram§COMMUNICATION§4.4§3128509§Varies with device§100,000,000+§Free§0§Mature 17+§Communication§July 27, 2018§Varies with device§Varies with device
GO SMS Pro - Messenger, Free Themes, Emoji§COMMUNICATION§4.4§2876500§24M§100,000,000+§Free§0§Everyone§Communication§August 1, 2018§7.73§4.0 and up
Firefox Focus: The privacy browser§COMMUNICATION§4.4§36893§4.0M§1,000,000+§Free§0§Everyone§Communication§July 6, 2018§5.2§5.0 and up
Firefox Browser fast & private§COMMUNICATION§4.4§3075118§Varies with device§100,000,000+§Free§0§Everyone§Communication§July 10, 2018§Varies with device§Varies with device
Opera Browser: Fast and Secure§COMMUNICATION§4.4§2473693§Varies with device§100,000,000+§Free§0§Everyone§Communication§July 31, 2018§47.1.2249.129326§Varies with device
UC Browser Mini -Tiny Fast Private & Secure§COMMUNICATION§4.4§3648480§3.3M§100,000,000+§Free§0§Teen§Communication§July 18, 2018§11.4.0§4.0 and up
Safest Call Blocker§COMMUNICATION§4.4§27540§3.7M§1,000,000+§Free§0§Everyone§Communication§January 5, 2018§1.26.001§4.0 and up
Hiya - Caller ID & Block§COMMUNICATION§4.4§177703§13M§10,000,000+§Free§0§Mature 17+§Communication§July 25, 2018§8.1.2-6310§5.0 and up
RocketDial Dialer & Contacts§COMMUNICATION§4.4§32254§5.5M§1,000,000+§Free§0§Everyone§Communication§December 4, 2017§3.9.7§2.1 and up
CallApp: Caller ID, Blocker & Phone Call Recorder§COMMUNICATION§4.4§483565§20M§10,000,000+§Free§0§Everyone§Communication§July 29, 2018§1.286§4.1 and up
Whoscall - Caller ID & Block§COMMUNICATION§4.4§552441§29M§10,000,000+§Free§0§Everyone§Communication§August 1, 2018§6.19.1§4.1 and up
Call Control - Call Blocker§COMMUNICATION§4.4§93825§11M§5,000,000+§Free§0§Everyone§Communication§July 5, 2018§2.17.3§4.1 and up
BBW Dating & Plus Size Chat§DATING§4.4§12632§29M§1,000,000+§Free§0§Mature 17+§Dating§July 27, 2018§3.5.0.1§4.1 and up
Free Dating App & Flirt Chat - Match with Singles§DATING§4.4§172460§3.1M§5,000,000+§Free§0§Mature 17+§Dating§August 4, 2018§1.639§4.0 and up
Free Dating App & Flirt Chat - Cheers§DATING§4.4§667§27M§10,000+§Free§0§Mature 17+§Dating§August 3, 2018§1.308.us§4.1 and up
Once - Quality Matches Every day§DATING§4.4§222888§21M§1,000,000+§Free§0§Mature 17+§Dating§July 17, 2018§2.45§4.1 and up
Hide App, Private Dating, Safe Chat - PrivacyHider§DATING§4.4§35206§7.2M§1,000,000+§Free§0§Everyone§Dating§May 21, 2018§2.9.6§4.0 and up
TryDate - Free Online Dating App, Chat Meet Adults§DATING§4.4§7888§15M§500,000+§Free§0§Mature 17+§Dating§April 29, 2018§2.4.0§4.1 and up
BBW Dating & Plus Size Chat§DATING§4.4§12632§29M§1,000,000+§Free§0§Mature 17+§Dating§July 27, 2018§3.5.0.1§4.1 and up
Once - Quality Matches Every day§DATING§4.4§222888§21M§1,000,000+§Free§0§Mature 17+§Dating§July 17, 2018§2.45§4.1 and up
Herpes Positive Singles Dating§DATING§4.4§198§28M§10,000+§Free§0§Mature 17+§Dating§May 18, 2018§5.5.7§4.1 and up
BBW Dating & Curvy Singles Chat- LargeFriends§DATING§4.4§218§27M§10,000+§Free§0§Mature 17+§Dating§July 23, 2018§5.2.9§4.1 and up
Hide App, Private Dating, Safe Chat - PrivacyHider§DATING§4.4§35205§7.2M§1,000,000+§Free§0§Everyone§Dating§May 21, 2018§2.9.6§4.0 and up
O-Star§DATING§4.4§59§38M§5,000+§Free§0§Everyone§Dating§July 19, 2018§1.0.1§4.3 and up
Cardi B Live Stream Video Chat - Prank§DATING§4.4§28§3.4M§500+§Free§0§Everyone§Dating§July 16, 2018§2.5§4.0.3 and up
O-Star§DATING§4.4§59§38M§5,000+§Free§0§Everyone§Dating§July 19, 2018§1.0.1§4.3 and up
Cardi B Live Stream Video Chat - Prank§DATING§4.4§28§3.4M§500+§Free§0§Everyone§Dating§July 16, 2018§2.5§4.0.3 and up
BBW Dating & Plus Size Chat§DATING§4.4§12633§29M§1,000,000+§Free§0§Mature 17+§Dating§July 27, 2018§3.5.0.1§4.1 and up
2Date Dating App, Love and matching§DATING§4.4§41605§8.1M§500,000+§Free§0§Mature 17+§Dating§July 26, 2018§4.813§4.0.3 and up
BBW Dating & Curvy Singles Chat- LargeFriends§DATING§4.4§218§27M§10,000+§Free§0§Mature 17+§Dating§July 23, 2018§5.2.9§4.1 and up
Dinosaurs Coloring Pages§EDUCATION§4.4§390§41M§500,000+§Free§0§Everyone§Education;Education§February 3, 2018§1.1.6§4.0 and up
Cars Coloring Pages§EDUCATION§4.4§1090§49M§1,000,000+§Free§0§Everyone§Education;Creativity§February 3, 2018§1.2.0§4.0 and up
Monster Truck Driver & Racing§EDUCATION§4.4§748§51M§1,000,000+§Free§0§Everyone§Education;Action & Adventure§January 19, 2017§1.0.9§2.3 and up
English speaking texts§EDUCATION§4.4§1619§3.0M§1,000,000+§Free§0§Everyone§Education§July 20, 2018§1.2§1.6 and up
THAI DICT 2018§EDUCATION§4.4§29855§Varies with device§1,000,000+§Free§0§Mature 17+§Education§July 29, 2018§Varies with device§Varies with device
Game for KIDS: KIDS match'em§EDUCATION§4.4§7005§6.9M§1,000,000+§Free§0§Everyone§Education§October 23, 2016§1.17§2.3 and up
Coursera: Online courses§EDUCATION§4.4§90481§Varies with device§5,000,000+§Free§0§Everyone§Education§July 27, 2018§Varies with device§Varies with device
Peak – Brain Games & Training§EDUCATION§4.4§272145§Varies with device§10,000,000+§Free§0§Everyone§Education;Brain Games§August 3, 2018§3.14.15§5.0 and up
Memorado - Brain Games§EDUCATION§4.4§56897§97M§1,000,000+§Free§0§Everyone§Education;Brain Games§January 16, 2017§1.10.0§4.1 and up
GMAT Math Flashcards§EDUCATION§4.4§1769§Varies with device§100,000+§Free§0§Everyone§Education§July 11, 2018§Varies with device§Varies with device
GRE Prep & Practice by Magoosh§EDUCATION§4.4§3963§Varies with device§100,000+§Free§0§Everyone§Education§June 6, 2018§Varies with device§Varies with device
Coursera: Online courses§EDUCATION§4.4§90481§Varies with device§5,000,000+§Free§0§Everyone§Education§July 27, 2018§Varies with device§Varies with device
Learn 50 languages§EDUCATION§4.4§55256§14M§5,000,000+§Free§0§Everyone§Education§June 19, 2018§10.9.1§4.0 and up
Babbel – Learn Spanish§EDUCATION§4.4§54798§11M§1,000,000+§Free§0§Everyone§Education§July 30, 2018§20.7.2§4.4 and up
Learn to Speak English§EDUCATION§4.4§33646§7.0M§1,000,000+§Free§0§Everyone§Education§July 15, 2018§2.3.9§4.0 and up
ClassDojo§EDUCATION§4.4§148550§59M§10,000,000+§Free§0§Everyone§Education;Education§August 3, 2018§4.21.1§4.1 and up
Learn 50 languages§EDUCATION§4.4§55256§14M§5,000,000+§Free§0§Everyone§Education§June 19, 2018§10.9.1§4.0 and up
HelloTalk — Chat, Speak & Learn Foreign Languages§EDUCATION§4.4§84309§41M§5,000,000+§Free§0§Everyone§Education§July 25, 2018§2.6.6§4.1 and up
ClassDojo§EDUCATION§4.4§148549§59M§10,000,000+§Free§0§Everyone§Education;Education§August 3, 2018§4.21.1§4.1 and up
HelloTalk — Chat, Speak & Learn Foreign Languages§EDUCATION§4.4§84311§41M§5,000,000+§Free§0§Everyone§Education§July 25, 2018§2.6.6§4.1 and up
Kids Learn Languages by Mondly§EDUCATION§4.4§2078§Varies with device§100,000+§Free§0§Everyone§Education;Education§December 24, 2017§1.0.2§4.1 and up
Netflix§ENTERTAINMENT§4.4§5456208§Varies with device§100,000,000+§Free§0§Teen§Entertainment§July 31, 2018§Varies with device§Varies with device
StarTimes - Live International Champions Cup§ENTERTAINMENT§4.4§17682§9.7M§1,000,000+§Free§0§Everyone§Entertainment§August 3, 2018§5.2§4.0.3 and up
Cinematic Cinematic§ENTERTAINMENT§4.4§37000§15M§1,000,000+§Free§0§Mature 17+§Entertainment§June 21, 2018§4.0.5§4.1 and up
Radio Javan§ENTERTAINMENT§4.4§46916§4.5M§1,000,000+§Free§0§Everyone§Entertainment§July 18, 2018§7.3§4.2 and up
Red Bull TV: Live Sports, Music & Entertainment§ENTERTAINMENT§4.4§42050§Varies with device§1,000,000+§Free§0§Teen§Entertainment§August 3, 2018§Varies with device§Varies with device
Netflix§ENTERTAINMENT§4.4§5456208§Varies with device§100,000,000+§Free§0§Teen§Entertainment§July 31, 2018§Varies with device§Varies with device
The CW§ENTERTAINMENT§4.4§288150§21M§5,000,000+§Free§0§Teen§Entertainment§July 23, 2018§2.17§4.4 and up
Netflix§ENTERTAINMENT§4.4§5456599§Varies with device§100,000,000+§Free§0§Teen§Entertainment§July 31, 2018§Varies with device§Varies with device
The CW§ENTERTAINMENT§4.4§288150§21M§5,000,000+§Free§0§Teen§Entertainment§July 23, 2018§2.17§4.4 and up
Netflix§ENTERTAINMENT§4.4§5456708§Varies with device§100,000,000+§Free§0§Teen§Entertainment§July 31, 2018§Varies with device§Varies with device
The CW§ENTERTAINMENT§4.4§288150§21M§5,000,000+§Free§0§Teen§Entertainment§July 23, 2018§2.17§4.4 and up
LOL Pics (Funny Pictures)§ENTERTAINMENT§4.4§67554§7.7M§1,000,000+§Free§0§Teen§Entertainment§September 15, 2015§4.0§2.3.3 and up
SeatGeek – Tickets to Sports, Concerts, Broadway§EVENTS§4.4§15558§26M§1,000,000+§Free§0§Everyone§Events§August 3, 2018§2018.07.31229§5.0 and up
Happy Birthday Songs Offline§EVENTS§4.4§464§8.9M§100,000+§Free§0§Everyone§Events§December 4, 2017§1.3§4.1 and up
Quake & Volcanoes: 3D Globe of Volcanic Eruptions§EVENTS§4.4§663§6.0M§100,000+§Free§0§Everyone§Events§October 14, 2017§1.1.3§4.1 and up
KudaGo - things to do in NY§EVENTS§4.4§4298§4.4M§100,000+§Free§0§Everyone§Events§April 27, 2017§2.2.2§4.0 and up
K PLUS§FINANCE§4.4§124424§Varies with device§10,000,000+§Free§0§Everyone§Finance§June 26, 2018§4.6.0§4.2 and up
ING Banking§FINANCE§4.4§39041§Varies with device§1,000,000+§Free§0§Everyone§Finance§August 3, 2018§Varies with device§Varies with device
Wells Fargo Mobile§FINANCE§4.4§250706§37M§10,000,000+§Free§0§Everyone§Finance§July 31, 2018§6.8.0.109§5.0 and up
TrueMoney Wallet§FINANCE§4.4§199684§18M§5,000,000+§Free§0§Everyone§Finance§July 19, 2018§Varies with device§Varies with device
Money Lover: Expense Tracker, Budget Planner§FINANCE§4.4§126431§Varies with device§1,000,000+§Free§0§Everyone§Finance§August 1, 2018§Varies with device§Varies with device
Expense IQ Money Manager§FINANCE§4.4§21570§27M§1,000,000+§Free§0§Everyone§Finance§June 19, 2018§2.0.4§4.0 and up
Simple - Better Banking§FINANCE§4.4§7731§24M§100,000+§Free§0§Everyone§Finance§August 2, 2018§2.53.2§5.0 and up
QuickBooks Self-Employed:Mileage Tracker and Taxes§FINANCE§4.4§15141§25M§1,000,000+§Free§0§Everyone§Finance§July 24, 2018§4.63§5.0 and up
Stock Trainer: Virtual Trading (Stock Markets)§FINANCE§4.4§42809§23M§1,000,000+§Free§0§Everyone§Finance§July 27, 2018§3.04 - Beta§4.1 and up
US Stock Market§FINANCE§4.4§1922§4.2M§100,000+§Free§0§Everyone§Finance§August 1, 2018§1.28§2.3 and up
Yahoo Finance§FINANCE§4.4§135952§Varies with device§5,000,000+§Free§0§Everyone§Finance§July 30, 2018§Varies with device§Varies with device
Moneycontrol – Stocks, Sensex, Mutual Funds, IPO§FINANCE§4.4§281485§Varies with device§5,000,000+§Free§0§Everyone§Finance§May 11, 2018§Varies with device§Varies with device
Money Lover: Expense Tracker, Budget Planner§FINANCE§4.4§126447§Varies with device§1,000,000+§Free§0§Everyone§Finance§August 1, 2018§Varies with device§Varies with device
Betterment§FINANCE§4.4§3780§11M§100,000+§Free§0§Everyone§Finance§August 3, 2018§6.0.6§5.0 and up
GoBank§FINANCE§4.4§5950§12M§500,000+§Free§0§Everyone§Finance§June 1, 2018§2.131§4.1 and up
Simple - Better Banking§FINANCE§4.4§7731§24M§100,000+§Free§0§Everyone§Finance§August 2, 2018§2.53.2§5.0 and up
Bank of America Mobile Banking§FINANCE§4.4§341090§53M§10,000,000+§Free§0§Everyone§Finance§July 31, 2018§7.8.8§4.4 and up
Wells Fargo Mobile§FINANCE§4.4§250719§37M§10,000,000+§Free§0§Everyone§Finance§July 31, 2018§6.8.0.109§5.0 and up
Navy Federal Credit Union§FINANCE§4.4§43313§40M§1,000,000+§Free§0§Everyone§Finance§July 9, 2018§5.16.2§4.1 and up
Delivery yogi.§FOOD_AND_DRINK§4.4§90042§Varies with device§10,000,000+§Free§0§Everyone§Food & Drink§July 18, 2018§Varies with device§Varies with device
Recipe Keeper§FOOD_AND_DRINK§4.4§1962§22M§100,000+§Free§0§Everyone§Food & Drink§June 27, 2018§3.17.1.0§4.1 and up
Instacart: Grocery Delivery§FOOD_AND_DRINK§4.4§17071§Varies with device§1,000,000+§Free§0§Everyone§Food & Drink§August 2, 2018§Varies with device§5.0 and up
Pizza Hut§FOOD_AND_DRINK§4.4§321134§30M§10,000,000+§Free§0§Everyone§Food & Drink§June 12, 2018§4.7.0§4.1 and up
Pedometer§HEALTH_AND_FITNESS§4.4§400592§2.9M§10,000,000+§Free§0§Everyone§Health & Fitness§July 4, 2018§5.23§4.0 and up
Buttocks and Abdomen§HEALTH_AND_FITNESS§4.4§465§6.4M§500,000+§Free§0§Everyone§Health & Fitness§June 7, 2018§1.08§4.0.3 and up
Nike+ Run Club§HEALTH_AND_FITNESS§4.4§708674§Varies with device§10,000,000+§Free§0§Everyone§Health & Fitness§July 12, 2018§2.17.0§4.4 and up
Bike Computer - GPS Cycling Tracker§HEALTH_AND_FITNESS§4.4§12029§4.3M§1,000,000+§Free§0§Everyone§Health & Fitness§August 4, 2018§2.6§4.2 and up
Running Weight Loss Walking Jogging Hiking FITAPP§HEALTH_AND_FITNESS§4.4§20812§Varies with device§1,000,000+§Free§0§Teen§Health & Fitness§July 27, 2018§Varies with device§Varies with device
Daily Workouts - Exercise Fitness Routine Trainer§HEALTH_AND_FITNESS§4.4§134195§Varies with device§10,000,000+§Free§0§Everyone§Health & Fitness§June 14, 2018§Varies with device§Varies with device
Nike+ Run Club§HEALTH_AND_FITNESS§4.4§708710§Varies with device§10,000,000+§Free§0§Everyone§Health & Fitness§July 12, 2018§2.17.0§4.4 and up
Map My Fitness Workout Trainer§HEALTH_AND_FITNESS§4.4§38343§55M§1,000,000+§Free§0§Everyone§Health & Fitness§July 27, 2018§18.7.1§5.0 and up
Daily Yoga - Yoga Fitness Plans§HEALTH_AND_FITNESS§4.4§70769§35M§5,000,000+§Free§0§Everyone§Health & Fitness§July 24, 2018§6.2.73§4.0 and up
Pocket Yoga§HEALTH_AND_FITNESS§4.4§2107§Varies with device§100,000+§Paid§$2.99§Everyone§Health & Fitness§December 22, 2015§Varies with device§Varies with device
Relax Meditation: Sleep with Sleep Sounds§HEALTH_AND_FITNESS§4.4§26540§43M§1,000,000+§Free§0§Everyone§Health & Fitness§February 9, 2017§2.5.1§4.0.3 and up
My Chakra Meditation§HEALTH_AND_FITNESS§4.4§7586§45M§500,000+§Free§0§Everyone§Health & Fitness§April 10, 2018§1.0.6§2.3.3 and up
21-Day Meditation Experience§HEALTH_AND_FITNESS§4.4§11506§15M§100,000+§Free§0§Everyone§Health & Fitness§August 2, 2018§3.0.0§4.1 and up
Daily Yoga - Yoga Fitness Plans§HEALTH_AND_FITNESS§4.4§70769§35M§5,000,000+§Free§0§Everyone§Health & Fitness§July 24, 2018§6.2.73§4.0 and up
Pocket Yoga§HEALTH_AND_FITNESS§4.4§2107§Varies with device§100,000+§Paid§$2.99§Everyone§Health & Fitness§December 22, 2015§Varies with device§Varies with device
Map My Hike GPS Hiking§HEALTH_AND_FITNESS§4.4§12858§55M§500,000+§Free§0§Everyone§Health & Fitness§July 27, 2018§18.7.1§5.0 and up
Nike+ Run Club§HEALTH_AND_FITNESS§4.4§708710§Varies with device§10,000,000+§Free§0§Everyone§Health & Fitness§July 12, 2018§2.17.0§4.4 and up
Technutri - calorie counter, diet and carb tracker§HEALTH_AND_FITNESS§4.4§70416§23M§5,000,000+§Free§0§Everyone§Health & Fitness§July 27, 2018§3.19.4§4.1 and up
Fooducate Healthy Weight Loss & Calorie Counter§HEALTH_AND_FITNESS§4.4§14402§Varies with device§1,000,000+§Free§0§Everyone§Health & Fitness§August 3, 2018§Varies with device§Varies with device
My Diet Coach - Weight Loss Motivation & Tracker§HEALTH_AND_FITNESS§4.4§141163§Varies with device§10,000,000+§Free§0§Everyone§Health & Fitness§June 11, 2018§Varies with device§Varies with device
Nike+ Run Club§HEALTH_AND_FITNESS§4.4§708753§Varies with device§10,000,000+§Free§0§Everyone§Health & Fitness§July 12, 2018§2.17.0§4.4 and up
Lose It! - Calorie Counter§HEALTH_AND_FITNESS§4.4§69395§Varies with device§10,000,000+§Free§0§Everyone§Health & Fitness§August 3, 2018§Varies with device§Varies with device
Calorie Counter by FatSecret§HEALTH_AND_FITNESS§4.4§229210§Varies with device§10,000,000+§Free§0§Everyone§Health & Fitness§July 31, 2018§Varies with device§Varies with device
Weight Loss Tracker - RecStyle§HEALTH_AND_FITNESS§4.4§20547§5.7M§1,000,000+§Free§0§Everyone§Health & Fitness§November 29, 2017§3.2.7§4.1 and up
Lose It! - Calorie Counter§HEALTH_AND_FITNESS§4.4§69395§Varies with device§10,000,000+§Free§0§Everyone§Health & Fitness§August 3, 2018§Varies with device§Varies with device
Weight Loss Tracker - RecStyle§HEALTH_AND_FITNESS§4.4§20547§5.7M§1,000,000+§Free§0§Everyone§Health & Fitness§November 29, 2017§3.2.7§4.1 and up
Calorie Counter by FatSecret§HEALTH_AND_FITNESS§4.4§229214§Varies with device§10,000,000+§Free§0§Everyone§Health & Fitness§July 31, 2018§Varies with device§Varies with device
Lose It! - Calorie Counter§HEALTH_AND_FITNESS§4.4§69395§Varies with device§10,000,000+§Free§0§Everyone§Health & Fitness§August 3, 2018§Varies with device§Varies with device
Relax Meditation: Sleep with Sleep Sounds§HEALTH_AND_FITNESS§4.4§26540§43M§1,000,000+§Free§0§Everyone§Health & Fitness§February 9, 2017§2.5.1§4.0.3 and up
Brain Waves - Binaural Beats§HEALTH_AND_FITNESS§4.4§5038§10M§500,000+§Free§0§Everyone§Health & Fitness§July 15, 2018§5.2§4.4 and up
